Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","20pF,50V,C0G ","C_0402_1005Metric",-83.820000,41.021000,-90.000000,bottom
"C2","20pF,50V,C0G ","C_0402_1005Metric",-89.662000,40.259000,90.000000,bottom
"C3","100nF,16V,X7R ","C_0402_1005Metric",-68.935600,32.258000,-135.000000,bottom
"C4","100nF,16V,X7R ","C_0402_1005Metric",-81.534000,39.370000,0.000000,bottom
"C5","10uF,6.3V,X5R ","C_0402_1005Metric",-74.422000,30.480000,-90.000000,bottom
"C6","100nF,16V,X7R ","C_0402_1005Metric",-70.104000,37.592000,180.000000,bottom
"C7","100nF,16V,X7R ","C_0402_1005Metric",-72.898000,40.386000,180.000000,bottom
"C8","100nF,16V,X7R ","C_0402_1005Metric",-62.026800,34.391600,180.000000,bottom
"C9","10uF,10V,X5R ","C_0603_1608Metric",-11.430000,40.894000,0.000000,bottom
"C10","100nF,16V,X7R ","C_0402_1005Metric",-137.033000,31.242000,180.000000,bottom
"C11","100nF,16V,X7R ","C_0402_1005Metric",-81.026000,40.386000,0.000000,bottom
"C12","100nF,16V,X7R ","C_0402_1005Metric",-81.280000,33.782000,0.000000,bottom
"C13","100nF,16V,X7R ","C_0402_1005Metric",-77.724000,30.226000,-90.000000,bottom
"C14","100nF,16V,X7R ","C_0402_1005Metric",-70.967600,32.004000,-135.000000,bottom
"C15","10uF,6.3V,X5R ","C_0402_1005Metric",-26.162000,43.434000,180.000000,bottom
"C16","1uF,25V,X5R ","C_0402_1005Metric",-9.652000,49.276000,90.000000,bottom
"C17","10uF,6.3V,X5R ","C_0402_1005Metric",-45.212000,43.434000,180.000000,bottom
"C18","1uF,25V,X5R ","C_0402_1005Metric",-18.288000,53.086000,-90.000000,bottom
"C19","10uF,6.3V,X5R ","C_0402_1005Metric",-64.008000,43.434000,180.000000,bottom
"C20","10uF,6.3V,X5R ","C_0402_1005Metric",-80.391000,43.942000,180.000000,bottom
"C21","10uF,6.3V,X5R ","C_0402_1005Metric",-101.854000,43.434000,180.000000,bottom
"C22","10uF,6.3V,X5R ","C_0402_1005Metric",-121.158000,43.434000,180.000000,bottom
"C23","2.2uF,6.3V,X5R ","C_0402_1005Metric",-75.438000,30.226000,-90.000000,bottom
"D1","LED","LED_0805_2012Metric",-36.576000,64.262000,0.000000,bottom
"H2","mech-only-no-pins","STUD_SOLDER_SMTSO_M3",-135.330000,7.480000,0.000000,bottom
"H3","mech-only-no-pins","STUD_SOLDER_SMTSO_M3",-135.330000,59.480000,0.000000,bottom
"H4","mech-only-no-pins","STUD_SOLDER_SMTSO_M3",-17.330000,59.480000,0.000000,bottom
"H5","mech-only-no-pins","STUD_SOLDER_SMTSO_M3",-17.330000,7.480000,0.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GT-USB-7010",-4.830000,36.480000,90.000000,bottom
"J3","Conn_02x05_SWD","FTSH-105-01-F-DV-K",-143.002000,33.782000,90.000000,bottom
"Q1","AO3400A","SOT-23",-134.620000,49.276000,90.000000,bottom
"R1","1k","R_0402_1005Metric",-83.566000,39.116000,0.000000,bottom
"R2","5.1k","R_0402_1005Metric",-11.684000,34.036000,0.000000,bottom
"R3","27","R_0603_1608Metric",-16.510000,35.560000,180.000000,bottom
"R4","27","R_0603_1608Metric",-16.510000,37.084000,180.000000,bottom
"R5","5.1k","R_0402_1005Metric",-12.446000,38.354000,0.000000,bottom
"R6","470","R_0402_1005Metric",-21.082000,46.990000,90.000000,bottom
"R7","10k","R_0402_1005Metric",-143.256000,39.116000,0.000000,bottom
"R8","10k","R_0402_1005Metric",-35.052000,59.842400,180.000000,bottom
"R9","470","R_0402_1005Metric",-39.370000,46.990000,90.000000,bottom
"R10","470","R_0402_1005Metric",-59.182000,46.990000,90.000000,bottom
"R11","470","R_0402_1005Metric",-77.851000,45.720000,90.000000,bottom
"R12","470","R_0402_1005Metric",-96.774000,46.990000,90.000000,bottom
"R13","470","R_0402_1005Metric",-115.570000,46.990000,90.000000,bottom
"R14","1k","R_0402_1005Metric",-32.918400,59.842400,180.000000,bottom
"R15","10k","R_0402_1005Metric",-134.620000,46.736000,180.000000,bottom
"R16","470","R_0402_1005Metric",-39.878000,64.262000,180.000000,bottom
"SW7","Switch_SW_Push","SW_SPST_SMD_SIDE_C319395",-149.830000,23.480000,0.000000,bottom
"SW8","Switch_SW_Push","SW_SPST_SMD_SIDE_C319395",-149.830000,43.480000,0.000000,bottom
"SW9","Switch_SW_Push","SW_SPST_SMD_SIDE_C319395",-30.734000,64.000000,90.000000,bottom
"U1","RP2040","RP2040-QFN-56",-76.584000,36.576000,-45.000000,bottom
"U3","IE096HQ1301CL","IE096HQ1301CL",-28.830000,46.956000,180.000000,bottom
"U4","IE096HQ1301CL","IE096HQ1301CL",-47.830000,46.956000,180.000000,bottom
"U5","IE096HQ1301CL","IE096HQ1301CL",-66.830000,46.956000,180.000000,bottom
"U6","IE096HQ1301CL","IE096HQ1301CL",-85.830000,46.956000,180.000000,bottom
"U7","IE096HQ1301CL","IE096HQ1301CL",-104.830000,46.956000,180.000000,bottom
"U8","IE096HQ1301CL","IE096HQ1301CL",-123.830000,46.956000,180.000000,bottom
"U11","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-65.938400,37.998400,-90.000000,bottom
"VR1","LM1117MPX-3.3","VREG_LM1117MPX-3.3",-13.716000,50.292000,90.000000,bottom
"X1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-86.715600,40.259000,0.000000,bottom
